MOFname,smi
"mof_unit_pretest_1364.cif
",[C]1(/C(=C/[C])/[CH][C])O[Zn@]23O[Zn@]4(O[C](c5ccc([CH])cc5)O[Zn](O[C](/C(=C/[C])/[CH][C])O3)O[C](/C(=C/[C])/[C]([C])/C=C\[C])O[Zn](O[C](c3ccc([CH])cc3)O2)O[C](/C(=C/[C])/[C]([C])/C=C\[C])O4)O1.[CH].[CH].C([CH2])[O].[H].[H].[H].[H]
"mof_unit_pretest_1365.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C][C]/C=C(/C=C\[C][C][O])\[C])(O[C][C]/C=C\[C]C#C/[C]=C/[CH]/[C]=[C]\[O])[O])c1c(c2cc(c(cc2cc1OCC[CH2])C(=O)O[V][O])O[CH]C[CH])C=O)([O])[O])c1c(c(c(C#Cc2ccc(cc2)C(=O)[O])cc1)C=O)C=O.[CH]=[CH].[C](=[CH])C=O.[CH].[C](=[CH])OCCC.[O][V][O].[O].[H].[H].[H].[H]
"mof_unit_pretest_1366.cif
",[Zn]1(O[Zn]O[C]2O[Zn](O[C]C#[C])O[C](O1)c1c(c(c(-c3c(c(c(C(=O)O[Zn]([O])OC(=O)c4c(c(c(-c5c(c(c(C(=O)O[Zn]([O])OC(=O)c6c(c(c(-c7c(c(c([C](O[Zn@@]8(O[Zn]([O])O[C](O8)c8c(c(c(-c9c(c(c2c(c9OCCC)N(=O)=O)N(=O)=O)OCCC)c(c8N(=O)=O)OCCC)OCCC)N(=O)=O)O[C]C#[C])O[Zn][O])c(c7OCCC)N(=O)=O)N(=O)=O)OCCC)c(c6N(=O)=O)OCCC)OCCC)N(=O)=O)c(c5OCCC)N(=O)=O)N(=O)=O)OCCC)c(c4N(=O)=O)OCCC)OCCC)N(=O)=O)c(c3OCCC)N(=O)=O)N(=O)=O)OCCC)c(c1N(=O)=O)OCCC)OCCC)N(=O)=O)[O].[Zn]O[C]1O[Zn]([O])OC(=O)c2c(c(c(-c3c(c(c(C(=O)O[Zn](O[C]C#[C])OC(=O)c4c(c(c(-c5c(c(c([C]6O[Zn@](O[Zn]O6)(O[C]C#[C])OC(=O)c6c(c(c(-c7c(c(c([C]8O[Zn@]9(O[Zn](O[C]O[Zn]O[C](O9)c9c(c(c(-c%10c(c(c1c(c%10OCCC)N(=O)=O)N(=O)=O)OCCC)c(c9N(=O)=O)OCCC)OCCC)N(=O)=O)O8)[O])c(c7OCCC)N(=O)=O)N(=O)=O)OCCC)c(c6N(=O)=O)OCCC)OCCC)N(=O)=O)c(c5OCCC)N(=O)=O)N(=O)=O)OCCC)c(c4N(=O)=O)OCCC)OCCC)N(=O)=O)c(c3OCCC)N(=O)=O)N(=O)=O)OCCC)c(c2N(=O)=O)OCCC)OCCC)N(=O)=O.[O][C]C#[C].[O][C]C#[C].[O].C(#CC#[C])[C]
"mof_unit_pretest_1367.cif
",C(=O)(C#C[C@]12[C@H]3[C@@]4([C@@]5([C@]3([C@H]1[C]5[C@]24O)Cl)C#CC(=O)[O])Cl)O[Cr](OC(=O)C#C[C@]12[C]3[C]4[C@@]5([C@H]3[C@]1([C@@H]5[C]24)O)C#CC(=O)[O])([O])(OC(=O)C1=C(c2c([C]=[C]1)c1[C]=[C]C(=Cc1cc2Cl)C(=O)[O])O)OC(=O)c1c(c2cc(c3c(c(cc4=[C][C]=c(c1)c2c34)[C]1O[Cr]O[Cr](O[C](c2cc3cc(c4c(c([C]5O[Cr]O[C](C#C[C@]67[C@]8([C@@H]9[C@@]%10([C@H]8[C@]6([C@@H]%10[C@]79Cl)O)C#CC(=O)[O])O)O[Cr]O5)c(c5c4c3c(c(c5Cl)O)c2)Cl)Cl)O)O[Cr])O1)Cl)Cl)O.[CH]=[CH].[H].[H].[Cl].[OH].[Cl].[Cl].[Cl].[OH]
"mof_unit_pretest_1368.cif
",C\1(=C(/[C]F)\[C]C2=CC=[C][C]=C2)/O[Cu]234([Cu]([N]#[C])(O/C(=C(\[C]F)/[C]C5=C[C]=[C]C=C5)/O2)(O1)(O[C](/C(=[C]\c1ccccc1)/[C]Br)O4)O[C](/C(=[C]\Br)/[C]c1ccccc1)O3)[N]#[C].[H].[H].[H].[H]
"mof_unit_pretest_1369.cif
",C(=O)(C#C/C=C(/C#CC(=O)[O])\[NH])O[Cr](O[C]C#C/C(=C/C#CC(=O)[O])/[NH])([O])(O[C]C1=[C][C]=c2c(=C1)ccc(c2)C(=O)[O])OC(=O)c1ccc2=CC(=[C][C]=c2c1)[C]1O[Cr]O[Cr]O[C](C#C/C(=C/C#C[C]2O[Cr]O[C](c3ccc4c(c3)c(cc(c4)C(=O)[O])N)O[Cr](O2)([O])[O])/N)O[Cr]O1.[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_137.cif
",[C]1([C])O[Zn]23([N])O[C]([C])O[Zn]([N])(O1)(O[C](c1c(cc(cc1)[C])N[CH2])O3)O[C](c1ccc(cc1NC)[C])O2.[CH][NH].[CH2][NH].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_1370.cif
",O1[C](O[Zn]23(O[C](O[Zn]1(O/C(=C(/[CH])\[C][C](N(=O)=O)N(=O)=O)/O2)(O[C](O3)[C])N([CH])[C][C](O)O)[C])N([C][CH]N(=O)=O)[C]O)[C]([C][C](O)N(=O)=O)[C]O.[O].[H].[N][O].[O]
"mof_unit_pretest_1371.cif
",[C]1(C([CH])([CH])[CH])O[Cu]234([Cu]([N]([CH])([C]F)[CH])(O[C](C([CH])([CH])[CH])O2)(O1)(O[C](C(=[CH])[C]C1=CC=[C][C]=C1F)O4)O[C](C(=[CH])[C]C1=C([C]=[C]C=C1)F)O3)[N]([CH])([C]F)[CH].[H].[H].[H].[H]
"mof_unit_pretest_1372.cif
",[C]1([C])O[Zn]23([N])O[C]([C])O[Zn]([N])(O1)(O[C](c1c(cc(cc1N)N1C(=O)C4=CC=[C]C5=[C]C=CC(=C45)C1=O)N)O3)O[C](c1c(cc(cc1N)N1C(=O)C3=C4C(=[C]C=C3)[C]=CC=C4C1=O)N)O2.[H].[H].[NH2].[NH2]
"mof_unit_pretest_1373.cif
",[C]([C]C(=[NH]C)C1=C(C=C([C]=[C]1)[C]OC)OC)O[Zn]([O])(O[C][C]C1=[C]C(=CC=C1NC)NC)[O].[C]([C]/C(=[NH]\C)/C1=C(C=C([C]=[C]1)[C]OC)OC)O[Zn](O[C][C]C1=[C]C(=CC=C1NC)NC)[O].[C][C]/C(=[NH]\C)/[C]/C(=C\[C]=[C]/OC)/OC.[C]([C]/C(=[NH]\C)/[C]/C(=C\[C]=[C]/OC)/OC)O[Zn]1O[Zn@]2([O])O[C](c3c4c(ccc(c4c(C(=O)O[Zn]([O])OC(=O)c4c5c(ccc(c5c(C(=O)O[Zn](O[C][C]/C(=[C]/C=C(\[C]=[C]/NC)/OC)/OC)OC(=O)c5c6c(ccc(c6c([C]6O[Zn](O[Zn]([O])O[C](c7c8c(ccc(c8c([C](O[Zn])O2)c(c7NC)NC)[NH])NC)O[Zn](O[C][C]/C(=[C]/C=C(\[C]=[C]/NC)/OC)/OC)O6)[O])c(c5NC)NC)N[CH2])NC)c(c4NC)NC)[NH])NC)c(c3NC)NC)N[CH2])NC)O1.C1(=C(C=C([C]=[C]1)/C(=[C]/C(=O)[O])/OC)OC)[C]NC.C1(=C(C=C([C]=[C]1)[C]([C])OC)OC)[C]NC.[C]O[Zn]O[C][C]/C(=[NH]/C)/[C]NC.[C]([C]C1=[C]C(=CC=C1NC)NC)O[Zn]([O])[O].[C]([C]C1=[C]C(=CC=C1NC)NC)O[Zn]([O])([O])[O].[C](=[C]\C(=[NH]\C)\[C]NC)\O[Zn].[C]([C]/C(=[NH]/C)/[C]NC)[O].[C](=[C]\C(=[NH]\C)\[C]NC)\[O].[O].[O].[O][Zn].[O].[O].[O][Zn].[H].[CH2].[H].[H].[CH2].[H]
"mof_unit_pretest_1374.cif
",[C]1([C])O[Zn]23([N])O[C]([C])O[Zn]([N])(O1)(O[C]([C@@]([C][CH2])([C]CC)[C]C[CH2])O3)O[C]([C@]([C]CC[CH2])([C][CH2])[C][CH]C)O2.[CH3].[CH3].[CH3].[H].[H]
"mof_unit_pretest_1375.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C]C1=C[C]=C(N2C(=O)C3=CC(=C([C]=C3[C]=[C]2)C2=[C][C]=C(C(=O)[N][C]/C(=C\[C])/C3=CC=C[C]=[C]3)C(=C2)c2ccccc2)c2ccccc2)C=C1)(O[C]C1=[C]C(=C([N]C(=O)C2=[C][C]=C(C(=O)[N]/[C]=C(/[C]([C])[C]=[CH])\C3=[C][C]=CC=C3)C=C2)C=C1)[C]C=[CH])[O])c1cc(c(N2C(=O)c3c4c(C2=O)ccc2c5c6c(cc(c7c6c(C(=O)N(C7=O)c6ccc(cc6[C]([C])/C=C\[C])C(=O)[O])c(c5)Br)[C]C=[CH])c(c42)cc3)cc1)C1=CC=[C]C=C1)([O])[O])c1c(c(c(N2C(=O)c3ccc4C(=O)N(C(=O)c5c4c3c(cc5)C2=O)c2c(c(c(cc2)C(=O)O[V])/C(=C/[C])/[CH])C2=CC=[C]C=C2)cc1c1ccccc1)c1ccccc1)c1ccccc1.[C](=[C]\C(=C/[C]=[C]\[O])\Br)\[O].[CH]=[CH].[C](=[C]\C=C/[C][C]C(=[CH])Br)\[O].[CH]=[CH].[O].[O].[O].[O][V]O[C].O=[C].[O].[CH].[C]C=[CH].[H].[H].[H].[H].[H].[C]1=[C]C=CC=C1.[H].[CH]=C[CH].[H].[CH].[H].[H].[H].[C][CH].[H].[H].[C][CH]/C=C\[CH].[CH].[CH]=C[CH]
"mof_unit_pretest_1376.cif
",[C](c1c2ccccc2c(c2ccc([C])cc12)[C]1O[Zn@@]23O[C]([C]C4=CC=C[C]=[C]4)O[Zn]4O/C(=[C]/C5=CC(=CC=[C]5)C(=O)O)/O[Zn@@](O[C](c5c6ccccc6c(C(=O)O[Zn](OC(=O)[C]C6=[C]C=CC=C6)O[C])c6c5ccc(C(=O)O)c6)O[Zn](O1)O[C](c1c5ccccc5c(c5c1cccc5)[C]1O[Zn]5O/C(=[C]/C6=[C]C=CC(=C6)C(=O)O)/O[Zn@@]67O[C](c8c9ccccc9c([C]9O[Zn]%10O[Zn@@](O/C(=[C]\C%11=CC=CC=[C]%11)/O[Zn]O[C](/[C]=[C]\C=[CH])O%10)(O[C][C]CC[C])O9)c9c8ccc(C(=O)O)c9)O[Zn](O[C](c8c9ccccc9c(C(=O)O[Zn](OC(=O)[C]C9=[C][C]=C(C(=O)O)C=C9)[O])c9c8ccc([C])c9)O[Zn@@](O6)(O[C](C([CH2])([CH2])[CH2])O7)O[C]([C]C6=[C][C]=CC=C6)O5)O1)O4)(O2)O[C](C([CH2])([CH2])[CH2])O3)(O[Zn][O])O[Zn@]1(O[Zn](O[C]([C]C2=[C][C]=C(C=C2)C(=O)O)O1)[O])[O].C(=[CH])[C].[C](=[C]\C=[CH])\[C].[C]C=[CH].[CH2][CH2].[CH2][CH2].[H].[H].[H].[H].[O].[OH].[O].[OH]
"mof_unit_pretest_1377.cif
",[CH]N=[Ni@@]1(N2C=C([CH][N@@]2[Ni]([N][CH])[N@]2[CH]C(=CN12)[C](C=[C])[C]/[C]=C/C=C\[C])c1c(c(c2ccccc2N)c(c(c1c1ccccc1N)N)C1=CN2[N@]([CH]1)[Ni](=NN([CH])[Ni@]2(=N/C=[C]/[C])n1cc([CH][C]([C])N)cn1)/N=C/[C]C=[CH])N)n1cc([C])cn1.[CH]=[CH].[C][C]C=[CH].[CH].[CH]=[C][C]=[CH].[CH].[H].[H].[H].[H].[NH2]
"mof_unit_pretest_1378.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O[C]C#[C])(O[C][C]C1=C(C(=C([C]=[C]1)N)N)N)(O2)[O])C#[C])[O])[C]C1=C(C(=C([C]=[C]1)N)N)S([O])([O])O.O1[C](O[V]2([O])(O[C](O[V]1(O[C]C#[C])(O[C][C]C1=[C][C]=C(C(=C1N)N)N)(O2)[O])C#[C])[O])[C]C1=[C][C]=C(C(=C1S([O])([O])O)N)N.[NH].[H].[NH].[H].S(=O)=O.[OH].S(=O)=O.[O].[H]
"mof_unit_pretest_1379.cif
",O1[C](O[Zn]23(O[C](O[Zn]1(O[C](O2)C(=[CH])[C][C](N(=O)=O)O)(O[C](O3)[C]([C]O)N(=O)=O)N([C]O)[C][C](N(=O)=O)N(=O)=O)/C(=[C]\O)/[N][O])N([C][CH]O)[C]O)[C]([C][CH]N(=O)=O)[C]O.[O]
"mof_unit_pretest_138.cif
",O1/C(=C\C=C\[CH]C(=O)O[V][O])/O[V]2(O/C(=C/[CH]/C=C/C(=O)O[V]([O])O[C][C]C[CH][CH])/O[V]1(O2)(O[C][C]C[CH][CH])(O[C][C][CH])[O])([O])[O].[O].[O][C][C][CH].[O].[CH][CH]C=O.[CH][CH]C=O.[H].[H].[H].[H].[C]C=O.[C]C=O.[O].[O].[C]=O.[H].[C]=O.[H]
"mof_unit_pretest_1380.cif
",O=C(O[V](O[C][C]1C[C]([C]([C](C1)C=O)[C][O])S([O])([O])O)[O])c1ccc2c(c1)c1c(cc2)c2=CC(=[C]C=c2c(c1)C=O)C(=O)[O].[O].O([C][C]C[C@]([C][C][O])([S@]([O])O)S([O])([O])O)[V](O[C]c1ccc2c(c1)c1c(cc2)c2c(c(c1)[CH])[C]=[C]C(=C2)[C][O])([O])[O].[O].[H].[H].[H].[CH2][CH]C=O.[CH2][CH]C=O.[C]([CH2])C=O.[H].[H].[O].[O][V][O].[O][V][O].[O].S([O])O.[O].[O]
"mof_unit_pretest_1381.cif
",O1[C](O[V]2([O])([O])O[C](O[V]1(O[C]/[C]=C(/[C]([C]=[CH])C=O)\C=O)(O[C][C][C]C=O)(O2)[O])C(=[CH])/C(=C(\[C])/C=O)/C=O)/C(=C/[C])/[C]C=O.O1[C](O[V]2([O])([O])O[C](O[V]1(O[C]/[C]=C(/C(=[C]/[CH])/C=O)\C=O)(O[C][C][C]C=O)(O2)[O])C(=[CH])/C(=C(\[C])/C=O)/C=O)/C(=C/[C])/[C]C=O.[C][C]=O.[C][C]=O.[C]([C]=[CH])C=O.[C]([C]=[CH])C=O.[H].[H]
"mof_unit_pretest_1382.cif
",[CH].c1c(c2ccc(c3cn(nc3)[Ni][N])cc2)cnn1[Ni][N].C1=C([CH]/C=[C]\[CH])[C]=NN1[Ni](n1cc([C]([C][C]=O)C=[C])cn1)/N=C/[C].[CH]=[C][C]=[CH].[CH]N([N])[Ni](N=[CH])[N][N][CH].[CH][C].[CH].[CH].[H].[H].[H]
"mof_unit_pretest_1383.cif
",C1(=[C])O[Zn]23([N])OC(=[C])O[Zn]([N])(O1)(O[C]([C](C=[C])[C]([C])Cl)O3)O[C]([C](C=[C])[C]([C])Cl)O2.[H].[H]
"mof_unit_pretest_1384.cif
",[C]1(C(=[CH])[C]C(=[CH])O)O[Cu]234([Cu](N([C]/C=[C]/O)[CH])(O1)(O[C](c1c(cc([C])cc1)O)O2)(O/C(=C(/[C]C=[CH])\[CH])/O3)O[C](c1ccc(cc1)[C])O4)N(/[C]=C/[CH])[CH].[H].[H]
"mof_unit_pretest_1385.cif
",[C][C]([C])[C].[CH]=[N].c1(cn(nc1)[Ni]/N=C/[C][C]1[C@H]2[C@@H]3[C@@](/[C]=C/[N][Ni]N=[CH])([C][C@H]13)[C]2)[C][CH].C1(=CN=N[CH]1)[C]([CH][C])[C]c1cc(ccc1)[O].[C]([C]/C(=C(/c1ccccc1)\[C]C(=[C])C=[N])/OC)C=[N].[CH]([C])[C]([C]=[CH])[C].[CH]=C/C=C\[C].C(=[C]\[C])\C=[CH].[C]OC.c1cc(ccc1)/[C]=[C]\OC.C1(=[C][C]=CC=C1)[O].[CH]=N[Ni][N].[CH].[CH].[CH]=[N].[CH]=N[Ni][N].[H].[H].[H].[H].[N].[O].[CH2].[H].[CH3].[CH3].[H].[H]
"mof_unit_pretest_1386.cif
",[C]1(C(=[CH])[C]C=[CH])O[Cu]234([Cu](N(/[C]=C/[CH])[CH])(O1)(O[C](C([CH2])([CH2])[CH2])O2)(O/C(=C(/[C]C=[CH])\[C]C[CH2])/O3)O[C](C([CH2])([CH2])[CH2])O4)N(/[C]=C/[CH])[CH].[H]
"mof_unit_pretest_1387.cif
",Brc1cc(cc([C]C(=[CH])[C]2O[Cu]345([Cu](N6[CH]C(=[C]C(=C6)[CH])[CH])(O[C](C(=[CH])[C]c6cc(cc(Br)c6Cl)Cl)O3)(O2)(O[C](C2=CC(=[C]C(=C2)[CH])[CH])O5)O[C](C2=CC(=[C]C(=C2)[CH])[CH])O4)N2[CH]C(=[C]C(=C2)[CH])[CH])c1Cl)Cl
"mof_unit_pretest_1388.cif
",[C]1([C]([C]C=[CH])[C]CC[CH2])O[Zn]23(N([C]=[CH])[CH])O[C](/C(=C/[C])/[C]([C])/C=C\[C])O[Zn](N(/[C]=C/[CH][C])[CH])(O1)(O[C](C(=[CH])[C][CH][C])O2)O[C](/C(=C/[C])/[CH][C])O3.[CH].[H].[H].[H].[H].[H]
"mof_unit_pretest_1389.cif
",[C]1(/C(=[C]\C[C][CH])/[C][CH2])O[Zn]23(N([CH])[C][CH2])O[C](C([CH2])([CH2])[CH2])O[Zn](N([C][CH2])[CH])(O1)(O[C](C(=[CH])[C][CH2])O2)O[C](C([CH2])([CH2])[CH2])O3.[H].[H].[H].[H]
"mof_unit_pretest_139.cif
",[Ba](O[P@](=O)(C1=C[C]=CC(=C1)C(=[CH])[CH])OCC)O[P@@](=O)([C]1C=C(C=C([CH]1)N1C(=O)C2=C[C]=[C]C3=[C]C=CC(=C23)C1=O)P([O])O[CH])OCC.[Ba](O[P@](=O)([C](/C=[C]/N([C]=O)C(=O)[C]C=[CH])C=[C])OCC)OP([O])O[CH][CH2].C(C)OP(c1cc(cc(c1)C(=[CH])[CH])[P@](=O)(OCC)[O])[O].[CH].[C]1=C([C]=C(C=[C]1)Br)[C].C(C)OP(=O)=O.[CH2].[H].[H].[H].[H].[H].[O].[O]
"mof_unit_pretest_1390.cif
",O1[C](O[V]2([O])(O[C](O[V]1(O/[C]=[C]\C=C/[C]/[C]=N/[N])(O[C]/C(=[C]\[O])/[C][C])(O2)[O])c1ccc(cc1)C(=[N])[N])[O])c1c(cc(c(c1)[C])[CH][C])OC.O1[C](O[V]2([O])(O[C](O[V]1(O/[C]=[C]\[CH]/C=[C]/[C]=N/[N])(O[C]/C(=[C]\[O])/[C][C])(O2)[O])c1ccc(cc1)C(=[N])[N])[O])c1c(cc(c(c1)[C])[CH][C])OC.[CH]/[C]=C/[CH][C].[CH]=[C]/C=C\[C].[H].[H].[H].[H].[CH]=[CH].[CH]=[CH].[CH].[H].[H].[CH].[H].[H]
"mof_unit_pretest_1391.cif
",C(=O)(C#C[C@]12[C@H]3[C@@]4([C@@]5([C@H]3[C@H]1[C]5[C@H]24)C#CC(=O)[O])C)O[Cr](OC(=O)C#C[C@]12[C]3[C@@H]4[C@@]5([C@H]3[C@H]1[C@@H]5[C]24)C#CC(=O)[O])([O])(OC(=O)C1=[C][C]=C(C=C1)c1ccc(cc1)C(=O)[O])OC(=O)c1ccc(cc1)c1ccc(cc1)[C](O[Cr])O[Cr]1O[C](c2ccc(c3ccc(cc3)[C]3O[Cr]O[C](C#C[C@]45[C@H]6[C@@H]7[C@@]8([C@H]6[C@H]4[C@@H]8[C@H]57)C#CC(=O)[O])O[Cr]O3)cc2)O[Cr]O1.[H].[H].[H].[H].[H]
"mof_unit_pretest_1392.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C]C=[C])(O[C][C](/C=[C]/C1=CC=[C]C(=[C]1)[C][O])[C]Br)[O])/C=C/[C]=C/C(=O)O[V][O])([O])[O])c1c(c2c3cc(cc(c3cc(c2cc1CCC)Br)C(=O)[O])[CH2])Br.[CH]/[C]=C/[C]Br.[CH].[C]([C][O])Br.[O][V][O].[O].[CH2][C][CH2].[H].[H].[H].[CH2]C.[CH2]CC.[CH2]CC
"mof_unit_pretest_1393.cif
",[C]1(/C(=[C]\NC)/[C]C=O)O[Zn]23(N([CH])[CH])O[C](/C(=[C]\C=O)/[C]NC)O[Zn](N([C]NC)[C]NC)(O1)(O[C](/C(=[C]\C=O)/[C][CH]C=O)O2)O[C]([C]([C][CH]C=O)[C]C=O)O3
"mof_unit_pretest_1394.cif
",C1(=[C]C(=C(C(=C1OCCC)C(=O)[O])F)C(=O)[O])/C(=C(/[C]F)\F)/[C]F.C(=O)(c1c(c(C2=[C]C(=[C]C(=C2F)F)F)c(c(C(=O)[O])c1F)[O])OCCC)[O].C(CC)[O].C(=O)(C1=C(C(=C(C(=[C]1)[C][C]F)OCCC)C(=O)[O])F)[O].C(=O)([C]([C]([C])OCCC)/C(=[C]/C(=O)[O])/F)[O].C(=O)(C1=[C]C(=C(C(=C1F)C(=O)[O])OCCC)[C]([C]F)[C])[O].C(=O)(C1=C(C(=[C]C(=C1OCCC)/C(=[C]\F)/[C]F)C(=O)[O])F)[O].[C]OCCC.C(CC)[O].C(CC)[O].C(CC)[O].[CH2]CC.[F].[F].[Zn].[Zn].[Zn].[Zn].[Zn].[Zn]
"mof_unit_pretest_1395.cif
",P([O])([O])C1=[C]C2=C(C=C[C]=[C]2)C(=C1)[P@](=O)(O[Ba]O[P@@](=O)(OCC)C1=C[C]=C[C]=C1)O[C@@H](C)N(=O)=O.[O].[P@](=O)(OCC)(O[Ba]OP([O])O[CH])C1=CC(=C[C]=C1N(=O)=O)P([O])O[CH]C.[O].[H].C(C)O[P@@](=O)([O])/[C]=[C]\C=C/[C][C].[CH]N(=O)=O.[CH3].O=[P@@]([O])(OCC)C(=[CH])[C](/C(=C\[C])/N(=O)=O)[C].[H].[CH2].[C]/C=[C]/N(=O)=O.[CH]C[CH2].[H].[H]
"mof_unit_pretest_1396.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C][C]/C(=C\[C]N1C(=O)c2c3=C(C1=O)[C]=C(C1=c3c(cc2)C(=O)N([C]1)[C]/C=C\[C]=[C]/[O])I)/I)(O/[C]=[C]\[CH]/C=[C]/[C]=N/N=[C]/[C]/C=C\[C]=[C]/[O])[O])c1ccc(N2C(=O)c3ccc4C(=O)N(C(=O)c5c4c3c(cc5)C2=O)c2cc(c(cc2)C(=O)[O])I)cc1)([O])[O])c1cc(c(cc1)c1nnc(nn1)c1cc(c(cc1)C(=O)O[V][O])I)I.[CH]=[CH].[N][N].[CH]=[CH].[O].[CH]=[CH].[CH]=[CH].[O][V][O].[O].[I]
"mof_unit_pretest_1397.cif
",[C]1(C(=[CH])OCC[CH2])O[Zn]23(N[CH])O[C](/C(=C/[C])/[C]([C])/C=C\[C])O[Zn](N[CH])(O1)(O/C(=C\[CH])/O2)O[C]([C]([CH][C])[C]([C])O[CH2])O3.[CH].[H].[CH2][CH2].[H].[H].[O][CH].[H].[CH][CH2].[H].[H]
"mof_unit_pretest_1398.cif
",[C]1(c2ccc(cc2)/C(=[C]\C(=O)O)/[C]C(=O)O)O[Cu]234([Cu](N5[CH]C=C(C=C5)/C(=[C]\OC[CH]C)/[C]OC[CH]C)(O[C](c5ccc(cc5)/C(=[C]\C(=O)O)/[C]C(=O)O)O2)(O1)(O[C]([C])O4)O[C]([C])O3)N1[CH]C=C(C=C1)/C(=[C]\OC[CH2])/[C]OC[CH].[H].[CH3].[H].[CH3].[H]
"mof_unit_pretest_1399.cif
",C\1(=C\[C]O[CH2])/O[Zn]23(N[CH])O[C](C(=[CH])[C]C=[CH])O[Zn](N[CH])(O1)(O[C](C=[CH])O2)O[C](C(=[CH])[C]/C=[C]/OC)O3.[H]
"mof_unit_pretest_14.cif
",[C](=O)C(=[CH])[C][CH].[C](=O)C(=[CH])[C][CH].[C]1(C(=[CH])[C][CH2])O[Cr]234O[C](C(=[CH])[C][CH])O[Cr@]5(O[C]O[Cr](O2)(O1)(O[C]O5)O[C](c1c2c(CC2)c(cc1)[C]1O[Cr@]25O[C](C6=C7C(=C([C]=[C]6)[C]6O[Cr]8O[Cr]9(O[C]([C]([C][CH2])[CH])O[Cr@](O6)(O[C](c6c%10c(c(cc6)[C]6O[Cr]%11%12%13O[C]([C]([C][CH2])[CH])O[Cr@]%14(O[C](C%15=[C][C]=[C]C(=C%15F)F)O[Cr](O%11)(O[C](C(=[CH])[C][CH2])O%12)(O[C]O%14)O6)O[C](c6c%11c(c(cc6)[C][O])CC%11)O%13)CC%10)O9)O[C](C=[C])O8)([O])[O])CC7)O[Cr](O[Cr](O[C](C(=[CH])[C][CH2])O5)([O])(O1)[O])O[C](C=[C])O2)O4)O[C]([C]([C]1[C]([C][C]=O)CC1)[C])O3.[CH][CH].[CH].[CH].[CH]=[C].[CH].[H].[H].[H].[H].[H].[H].[H].[H].[H].[F].[F]
"mof_unit_pretest_140.cif
",C\1(=C(/[C][CH]C(=O)O)\[CH])/O[Zn]23(N([CH])[C][CH2])O[C](c4ccc(cc4)[C])O[Zn](N([C][CH2])[C]C(=O)O)(O1)(O/C(=C(\[CH])/[C][CH2])/O2)O[C](c1ccc(cc1)[C])O3.[H].[H]
"mof_unit_pretest_1400.cif
",O1[C](O[Zn]23(O[C](O[Zn]1(O[C](O2)C([CH2])([CH2])[CH2])(O[C](O3)c1ccc(N2C(=O)C3=CC=[C]C4=[C]C=C(C(=C34)C2=O)N(=O)=O)c(c1OC)N(=O)=O)[N]([CH]N(=O)=O)([CH2])[CH2])c1ccc(N2C(=O)C3=C4C(=C(C=[C]C4=[C]C=C3N(=O)=O)N(=O)=O)C2=O)cc1)[N]([CH]N(=O)=O)([CH2])[CH2])C([CH]OC)([CH]OC)[CH2]
"mof_unit_pretest_1401.cif
",C(=[C]\[C])/N=[Ni@]1(n2cc([C]([C]([C])O)O)cn2)N2C=C([C]([N@]2[Ni]([N@]2[C]C(=C(N12)O)/[C]=[C]\c1c(cccc1)O)/N=C/[C]/C=[C]\[O])O)c1cc(c2ccccc2O)c(C2=CN3[N@@]([C]2O)[Ni]([N@@]2[C]C(=C(N2[Ni@]3(=N[CH])n2cc([C])cn2)O)[C][C]c2c(cccc2)O)[N][CH])cc1c1ccccc1O.[C]O.[C]O.[C]O.[H].[OH].[OH].[H].[H].[H]
"mof_unit_pretest_1402.cif
",[C](=O)C=[C].[C](=O)C=[C].[C]1(/C=[C]\O[CH2])O[Cr]234O[C](C(=[CH])[O])O[Cr]5(O[C]O[Cr@@](O1)(O/C(=[C]\[C])/O5)O[C](/C=C(/C=C(/[C]1O[Cr@]56O[C](/C(=C/[CH][C]([C]7O[Cr]O[C]([C]([C])[CH])O[Cr]89(O7)O[C](/C(=C/[C](/C=C\7/O[Cr]%10%11%12O[C](C(=[CH])[O])O[Cr@]%13(O[C](/[C]=C/C=[C]\OC)O[Cr](O%10)(O[C]([CH][C]O[CH2])O%11)(O[C]([C][CH])O%13)O7)O[C]([C][CH]/[C]=C/[C]=O)O%12)F)/OC)O[Cr](O[C](C(=[CH])OC)O9)(O8)([O])[O])[O])/[O])O[Cr](O[Cr](O[C](C(=[CH])OC)O6)([O])(O1)[O])O/C(=C(\[C])/[CH])/O5)\OC)\F)O4)(O[C](/C(=C/[C]([CH][C]=O)F)/[O])O3)O2.[CH][C]OC.[CH]=[C]OC.C(=[C]\[O])/[C].[CH].[C].[CH].[F].[CH3].[O]C.[CH3].[O].[CH3].[H].[H].[O][CH2].[H].[O][CH2].[H].[CH3].[CH3].[CH3].[CH2].[H].[O][CH2].[H]
