MOFname,volume [A^3],weight [u],surface_area [m^2/g],volumetric_sa [m^2/cm^3],void_fraction,void_volume [cm^3/g],topology_num,metal_element,metal_group,functional_group_1,functional_group_2,organic_linker1,organic_linker2,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_361,2108.28115,1065.52356,2117.74,1777.2719924736477,0.2849499999999999,0.3395,0,1,12,10,13,13,18,15.23677456,5.365395
mof_unit_pretest_362,3954.801873,1720.78328,2653.41,1917.134285894753,0.4185399999999999,0.5793,0,1,12,19,13,8,10,16.53404273,5.08523
mof_unit_pretest_363,1546.267797,1282.83516,1165.51,1605.6425687123624,0.20981,0.1522999999999999,0,1,12,4,20,10,28,42.82319612,7.299238
mof_unit_pretest_364,4633.17277,2133.3236,2518.73,1925.7796082086334,0.34669,0.4534,3,4,6,10,10,2,23,16.17368657,5.92322
mof_unit_pretest_365,1796.411786,881.8719199999998,1980.6,1614.5188483631496,0.27965,0.3431,0,2,11,7,11,14,26,22.36306191,4.842403
mof_unit_pretest_366,2396.497739,1363.9064,1675.22,1583.164777923597,0.2188199999999999,0.2315,0,1,12,5,19,24,28,33.80176323,6.204497
mof_unit_pretest_367,2127.791964,1496.772093,0.0,0.0,0.0923999999999999,0.0791,2,9,5,1,1,2,18,456.2986475,10.14261
mof_unit_pretest_368,2966.392099,1284.7136,3006.11,2161.8689320398003,0.3264099999999999,0.4539,2,9,5,20,20,16,23,40.73537106,6.630814999999999
mof_unit_pretest_369,1065.494223,731.57,0.0,0.0,0.13041,0.1144,0,2,11,14,9,24,24,29.46022599,5.654323000000001
mof_unit_pretest_370,1122.977679,737.30024,932.02,1016.1204907792244,0.15023,0.1378,0,1,12,16,8,1,4,43.76800457,7.830339
mof_unit_pretest_371,1526.94971,1013.64712,1317.72,1452.552776187981,0.1913799999999999,0.1736,0,2,11,10,17,4,18,28.53345204,6.207783
mof_unit_pretest_372,938.959489,555.07728,1766.68,1734.2480506889315,0.2471899999999999,0.2518,0,1,12,20,10,4,5,15.21988321,5.996048
mof_unit_pretest_373,2076.221966,1313.9947,0.0,0.0,0.11042,0.1051,5,12,10,5,20,9,10,49.6294134,7.3599809999999986
mof_unit_pretest_374,3828.301776,1939.685356,1793.43,1508.885477411267,0.3510699999999999,0.4173,1,10,2,8,11,44,54,24.77768238,6.224036
mof_unit_pretest_375,1140.887724,591.11268,2197.92,1890.9758198453949,0.2974999999999999,0.3458,0,1,12,15,15,11,14,11.48936684,4.967639
mof_unit_pretest_376,1159.965034,945.440375,0.0,0.0,0.05915,0.0437,0,1,12,1,6,12,22,32.48205323,7.117542
mof_unit_pretest_377,1123.483128,959.1899,0.0,0.0,0.09543,0.0672999999999999,0,1,12,4,6,4,22,48.35353891,7.369181
mof_unit_pretest_378,4112.527588,2219.2016,2202.76,1973.794071620612,0.2737,0.3054,5,12,10,17,17,4,10,34.82985047,6.177385
mof_unit_pretest_379,1652.924941,731.2062400000002,3304.47,2427.3661748078453,0.3572799999999999,0.4864,0,1,12,17,5,1,25,10.73880607,4.925572
mof_unit_pretest_380,3170.921864,1459.163286,3381.36,2583.7857003105028,0.37356,0.4889,2,9,5,2,1,18,20,31.900732399999995,6.524604
mof_unit_pretest_381,2582.07213,915.48132,3499.14,2060.104079526216,0.4662699999999999,0.792,0,1,12,10,18,2,16,8.463941464999998,4.728081
mof_unit_pretest_382,899.1198319999999,631.4526400000001,878.12,1024.056223292931,0.14843,0.1273,0,2,11,9,16,1,10,49.72548404,7.309008999999999
mof_unit_pretest_383,1474.571382,875.559566,1502.33,1481.2622748395117,0.21919,0.2223,0,2,11,10,1,10,28,41.09430083,6.883649
mof_unit_pretest_384,686.835578,501.26624,1138.7,1379.9765913124997,0.19947,0.1646,0,2,11,17,17,10,11,28.50982532,5.98744
mof_unit_pretest_385,1487.9656220000002,659.50558,3142.59,2312.916889403035,0.3957999999999999,0.5378,0,2,11,8,8,14,20,13.759072,5.498412999999999
mof_unit_pretest_386,2582.29299,1201.91322,2330.92,1801.530794876026,0.2968199999999999,0.384,5,12,10,13,16,11,22,11.56593475,4.9298
mof_unit_pretest_387,3856.625907,2925.290438,719.87,906.6972082398675,0.15359,0.1218999999999999,3,4,6,20,1,1,24,40.13182249,6.977169
mof_unit_pretest_388,3936.622305,3342.18472,0.0,0.0,0.0612699999999999,0.0434999999999999,3,4,6,12,11,4,11,90.73051763,8.897631
mof_unit_pretest_389,1569.742888,1095.48936,1479.02,1713.9589361949502,0.23929,0.2064999999999999,0,2,11,8,4,14,17,29.38308175,6.413588
mof_unit_pretest_390,2479.324785,973.73776,2600.13,1695.7053016737827,0.32815,0.5031999999999999,0,1,12,7,16,7,10,18.16310781,5.9569220000000005
mof_unit_pretest_391,10275.356185,3760.34592,3508.1,2131.8154423961805,0.4669399999999999,0.7683999999999999,5,12,10,17,17,2,18,12.96650858,5.06764
mof_unit_pretest_392,1665.67919,799.36148,2201.43,1754.298383571243,0.2862899999999999,0.3593,0,1,12,11,11,1,23,17.50644538,5.254832
mof_unit_pretest_393,3853.643102000001,1424.81024,3434.96,2108.8900957042697,0.43201,0.7036,2,9,5,20,20,7,18,31.90026787,6.093579
mof_unit_pretest_394,1379.393786,847.85416,820.12,837.0608293308901,0.1302299999999999,0.1275999999999999,0,2,11,13,5,11,16,29.54122751,7.570738
mof_unit_pretest_395,1588.063989,935.42664,1935.74,1893.3699793729847,0.32285,0.3301,0,1,12,19,19,1,2,38.48353779999999,6.875917
mof_unit_pretest_396,2483.189114,2114.81678,978.55,1383.8617304425195,0.19897,0.1406999999999999,0,1,12,4,9,12,28,26.40187699,6.013203
mof_unit_pretest_397,2251.239856,1544.52186,1294.11,1474.314747506977,0.2299799999999999,0.2019,3,4,6,15,17,1,19,37.64926837,5.621017
mof_unit_pretest_398,2007.51657,1713.17672,0.0,0.0,0.06087,0.0429999999999999,3,4,6,5,5,14,14,74.37900775999998,8.884732000000001
mof_unit_pretest_399,12272.832356,5408.493232,1914.67,1401.1097249673965,0.4718499999999999,0.6448,1,10,2,8,19,54,54,25.710531600000003,5.7929900000000005
mof_unit_pretest_400,3471.772351,1858.20732,2126.71,1890.1572036544896,0.3115699999999999,0.3506,2,9,5,3,20,18,23,30.75303367,6.119756
mof_unit_pretest_401,1112.1612699999998,907.02922,731.5,990.6370523477324,0.16113,0.1189999999999999,0,1,12,4,12,4,12,19.31548961,6.554687
mof_unit_pretest_402,2004.344735,846.7052999999999,2667.49,1871.1533645722498,0.3938599999999999,0.5615,0,2,11,13,17,4,27,16.48229734,5.201329
mof_unit_pretest_403,4363.439689,2507.41442,1660.01,1583.9977925572732,0.2722,0.2853,0,1,12,8,14,4,14,18.34765462,5.780024
mof_unit_pretest_404,3161.459701,1895.632796,1646.72,1639.5816529538126,0.2616699999999999,0.2627999999999999,1,10,2,20,9,47,54,17.96347996,5.476816
mof_unit_pretest_405,1076.916886,720.0514599999999,1157.16,1284.7584642573888,0.1886299999999999,0.1699,0,1,12,2,8,4,12,31.79983861,6.746921
mof_unit_pretest_406,1936.458445,1084.51486,1562.08,1452.7046392788664,0.2759099999999999,0.2967,0,1,12,14,15,13,16,13.11963696,5.412357
mof_unit_pretest_407,1943.483167,974.87076,2028.39,1689.524321488944,0.2992099999999999,0.3592,0,2,11,12,17,16,18,16.03415011,5.701259
mof_unit_pretest_408,3895.244472,3700.44392,0.0,0.0,0.1066599999999998,0.0675999999999999,3,4,6,4,9,11,14,46.98319438,6.418135
mof_unit_pretest_409,3430.8024090000004,2096.54496,1256.25,1274.7683574931884,0.2218,0.2185999999999999,2,9,5,16,3,17,23,18.9959892,5.036315
mof_unit_pretest_410,5323.758613,4869.92048,964.68,1465.3235011446438,0.20447,0.1346,5,12,10,10,4,4,4,21.16278015,5.780283
mof_unit_pretest_411,1888.0938670000005,1140.41296,0.0,0.0,0.1723099999999999,0.1718,2,9,5,10,20,11,16,60.08913887,6.929061
mof_unit_pretest_412,3095.418512,1606.8427800000002,2196.67,1893.5010716928743,0.29693,0.3444999999999999,3,4,6,8,15,13,21,18.60530531,5.979998
mof_unit_pretest_413,1621.843215,1248.33573,720.6599999999999,921.0849291035591,0.14599,0.1142,2,9,5,9,4,4,22,26.49465285,6.575063
mof_unit_pretest_414,2340.568499,1573.30872,0.0,0.0,0.0601799999999999,0.0539,2,9,5,6,6,13,13,40.80572129,7.978878999999998
mof_unit_pretest_415,1432.561501,761.40116,1683.65,1485.9315343010285,0.22474,0.2545999999999999,0,1,12,12,7,4,21,18.33032738,6.435225
mof_unit_pretest_416,1615.368866,855.74544,1710.65,1504.8068979015713,0.2505899999999999,0.2848999999999999,0,2,11,9,9,22,23,15.66033128,5.574472
mof_unit_pretest_417,2196.742022,1089.82568,2020.07,1664.1448468310034,0.3371899999999999,0.4093,0,2,11,20,8,17,24,15.19902936,5.916580000000001
mof_unit_pretest_418,1600.5088970000002,1152.52144,0.0,0.0,0.0556699999999999,0.0466,2,9,5,16,16,5,13,111.0592749,8.637382
mof_unit_pretest_419,1631.853791,1266.4699,0.0,0.0,0.12474,0.0967999999999999,3,4,6,9,15,1,5,70.26442487,7.619391
mof_unit_pretest_420,2249.146001,1172.5009599999998,2068.04,1790.1986267902198,0.31695,0.3660999999999999,2,9,5,20,20,1,17,14.58661558,5.315256
mof_unit_pretest_421,1440.6294289999998,777.1934,1947.57,1744.6833799870735,0.30503,0.3405,0,1,12,15,9,4,21,15.30385061,5.297067
mof_unit_pretest_422,2032.348316,1030.63658,2452.48,2065.188087475297,0.29463,0.3498999999999999,0,2,11,15,2,18,22,12.86653883,5.496913
mof_unit_pretest_423,2756.615499,1271.928306,2762.77,2116.7905910967893,0.33132,0.4324,0,2,11,1,12,12,29,14.92859878,5.040179
mof_unit_pretest_424,1955.188594,1496.9841199999998,0.0,0.0,0.0912199999999999,0.0717,3,4,6,20,5,1,1,75.87584230999998,8.109986
mof_unit_pretest_425,795.9702969999998,620.056366,0.0,0.0,0.12839,0.0992999999999999,0,1,12,1,17,10,16,114.3937429,7.83967
mof_unit_pretest_426,1665.262425,1029.29772,1358.97,1394.8095870445843,0.24673,0.2404,0,1,12,17,14,4,6,16.1980337,5.470841
mof_unit_pretest_427,8675.638376,6463.36552,1053.38,1303.1339832338513,0.2051599999999999,0.1658,0,1,12,9,3,15,22,22.40721792,6.300967
mof_unit_pretest_428,3416.384951,1669.1434800000002,2361.02,1915.4607726748554,0.3355,0.4134999999999999,2,9,5,2,20,7,16,30.44831479,5.929644000000001
mof_unit_pretest_429,7730.988087999998,4877.83464,1885.71,1975.6667906236894,0.325,0.3101999999999999,4,1,12,10,4,38,41,27.07336151,5.846434
mof_unit_pretest_430,1561.685845,1003.73336,1311.3,1399.5018344375937,0.1942599999999999,0.182,0,2,11,11,8,1,17,36.71873028,6.27024
mof_unit_pretest_431,2465.8310260000003,1701.0455600000005,345.6,395.88868840182175,0.0890699999999999,0.0777999999999999,2,9,5,13,10,13,16,81.19052643,7.499639
mof_unit_pretest_432,7705.545671,4715.03336,1651.65,1678.2092821876622,0.3038799999999999,0.2990999999999999,4,1,12,2,17,38,40,29.82491516,5.643086
mof_unit_pretest_433,1430.649771,1127.4904800000002,651.27,852.2899226991123,0.13757,0.1051,0,1,12,19,17,14,21,71.52350851,7.139253999999999
mof_unit_pretest_434,1593.67461,1019.24488,1356.03,1440.1074888166615,0.20213,0.1903,0,1,12,8,17,12,17,53.7682751,7.365897
mof_unit_pretest_435,2333.114622,1039.7477199999998,2419.1,1790.1624732775763,0.3091499999999999,0.4178,0,1,12,8,6,18,22,11.99038449,5.18959
mof_unit_pretest_436,1667.485891,766.3364,2593.44,1979.1568675419446,0.31074,0.4072,0,1,12,5,17,4,25,10.65035579,5.340998
mof_unit_pretest_437,4157.043785,2039.21136,2594.42,2113.317029994158,0.3307899999999999,0.4061,5,12,10,0,0,10,24,14.92067734,5.49381
mof_unit_pretest_438,2516.910975,1243.7385,2752.33,2258.439462298095,0.37928,0.4622,0,1,12,19,2,11,28,12.40006411,4.887827
mof_unit_pretest_439,2193.107501,1510.87312,0.0,0.0,0.10335,0.0903,0,1,12,11,11,22,22,29.18416543,7.331271000000001
mof_unit_pretest_440,7330.63862,4257.76676,1004.16,968.477867710026,0.2177199999999999,0.2257,3,4,6,16,3,27,27,22.12528459,5.339933
mof_unit_pretest_441,1631.900151,1403.66096,0.0,0.0,0.04111,0.0287999999999999,2,9,5,17,12,22,24,43.96998881,8.123839
mof_unit_pretest_442,715.495147,555.20492,0.0,0.0,0.0529,0.0410999999999999,0,1,12,5,6,10,11,30.60869384,7.886019
mof_unit_pretest_443,4255.696494,3249.97184,0.0,0.0,0.1049699999999999,0.0827999999999999,3,4,6,8,16,19,22,77.7601167,7.933383999999998
mof_unit_pretest_444,5720.414189,1502.56924,4569.92,1993.2526142031643,0.5560199999999998,1.2748,0,2,11,6,14,17,29,10.02415377,4.840924
mof_unit_pretest_445,2664.970261,1729.632896,1059.47,1141.818195579922,0.22753,0.2111,1,10,2,14,5,51,55,14.93776107,5.257625
mof_unit_pretest_446,2634.644636,963.65836,3512.4,2133.2990635277397,0.4106099999999999,0.6761,0,1,12,16,6,2,16,7.849686104,5.074601
mof_unit_pretest_447,3807.46192,4112.37008,0.0,0.0,0.02525,0.0141,3,4,6,9,4,17,17,20.5592301,9.280080000000002
mof_unit_pretest_448,1871.771358,1304.78628,0.0,0.0,0.07677,0.0662999999999999,2,9,5,13,13,16,22,62.28636776,9.850964
mof_unit_pretest_449,2555.923286,1198.46684,2306.67,1796.0168259320471,0.27987,0.3594,0,1,12,9,7,12,13,17.38448439,5.658528
mof_unit_pretest_450,2535.796693,1202.27278,2405.96,1894.1907541226478,0.39661,0.5038,0,1,12,18,3,16,25,12.48629236,5.422831
mof_unit_pretest_451,1636.277474,1104.46852,0.0,0.0,0.1203,0.1073,2,9,5,7,20,5,16,111.26363729999998,8.830036
mof_unit_pretest_452,2292.687262,973.53896,2934.21,2068.9330496816947,0.3819099999999999,0.5415999999999999,0,1,12,14,20,13,17,11.43101511,5.176052
mof_unit_pretest_453,1729.316221,966.10876,1989.61,1845.721988511762,0.2763999999999999,0.2979,0,1,12,18,12,10,16,12.46489374,5.395758
mof_unit_pretest_454,2018.824267,1071.541333,2214.57,1951.8504989572207,0.30529,0.3463999999999999,0,2,11,2,1,18,24,14.98191241,5.044693
mof_unit_pretest_455,1651.397857,1243.47632,545.66,682.2674425113553,0.1476899999999999,0.1181,3,4,6,8,14,1,5,28.64543124,7.131697999999999
mof_unit_pretest_456,1088.35357,537.42576,2377.63,1949.5728635114742,0.32879,0.401,0,2,11,20,20,10,26,10.16582982,4.70112
mof_unit_pretest_457,2562.28506,1147.71344,3053.73,2271.346462322505,0.3421,0.4598999999999999,0,1,12,19,12,18,19,12.76631253,5.890234
mof_unit_pretest_458,1906.313545,1100.16036,0.0,0.0,0.09572,0.0999,0,2,11,13,13,2,5,57.30015255,8.490905999999999
mof_unit_pretest_459,2416.430001,1275.7696,1712.92,1501.6953521665346,0.24645,0.2811,0,1,12,15,12,22,28,20.83616959,5.547901
mof_unit_pretest_460,1249.208792,766.21866,0.0,0.0,0.1656199999999999,0.1625999999999999,0,1,12,20,15,12,16,28.3716162,6.32335
mof_unit_pretest_461,1804.664448,855.79488,2256.66,1776.9944780654346,0.3208699999999999,0.4074999999999999,0,2,11,14,12,14,26,12.54534496,5.504561
mof_unit_pretest_462,2570.290849,1718.223329,0.0,0.0,0.15412,0.1388,5,12,10,20,1,9,22,50.4658749,6.951321000000001
mof_unit_pretest_463,1173.618019,1388.95408,0.0,0.0,0.12039,0.0613,0,1,12,19,4,1,4,93.43529769000001,8.787471
mof_unit_pretest_464,3393.470502,2583.313189,814.65,1029.794981069035,0.15687,0.1241,0,2,11,15,1,16,16,18.021669600000003,6.070164
mof_unit_pretest_465,1747.0308760000005,1037.50004,1627.99,1605.4101362296094,0.22464,0.2278,0,2,11,2,2,10,29,60.42556327,6.914606
mof_unit_pretest_466,4135.648053,2148.162556,1825.73,1574.7327056577374,0.37811,0.4384,1,10,2,2,14,54,56,16.22048089,5.644181
mof_unit_pretest_467,6283.104362,2746.14788,2902.84,2106.78138290156,0.33876,0.4667999999999999,3,4,6,6,19,7,27,15.65048015,6.137727
mof_unit_pretest_468,5184.12656,3620.22388,365.82,424.203263142955,0.1178,0.1016,5,12,10,13,4,1,24,47.01393871,7.027128
mof_unit_pretest_469,1245.399556,767.3626799999998,0.0,0.0,0.12933,0.1264,0,1,12,13,13,5,7,46.48380083,7.344711
mof_unit_pretest_470,897.14671,609.1031429999999,1036.54,1168.5846141518637,0.18404,0.1632,0,1,12,15,1,4,10,21.78945051,6.177318
mof_unit_pretest_471,1129.510993,815.77232,0.0,0.0,0.10969,0.0914999999999999,0,2,11,18,18,1,12,37.22152439,7.759486
mof_unit_pretest_472,1129.213799,883.22284,0.0,0.0,0.0983899999999998,0.0758,0,1,12,9,14,1,14,57.79833999,7.797528
mof_unit_pretest_473,4145.3072600000005,2645.84184,1268.9,1344.8730055077353,0.2188699999999999,0.2064999999999999,3,4,6,19,20,6,17,23.07833374,6.07247
mof_unit_pretest_474,1110.486424,919.4052200000002,772.13,1061.5265588952702,0.15557,0.1132,0,2,11,4,4,14,22,46.22500092,7.639602
mof_unit_pretest_475,2207.728918,1420.759173,0.0,0.0,0.1277299999999999,0.1195,2,9,5,1,11,18,22,107.8065699,8.625424
mof_unit_pretest_476,1620.671226,975.4856,1089.8,1089.229690594771,0.1708599999999999,0.1709,0,1,12,11,11,12,17,27.65036939,6.871159
mof_unit_pretest_477,2011.082071,1175.174659,1871.42,1815.8945131473142,0.3345699999999999,0.3448,0,2,11,2,1,14,27,17.56357971,5.572403
mof_unit_pretest_478,2779.456779,1007.90068,4398.24,2648.3992929594965,0.42862,0.7117999999999999,0,2,11,5,5,12,29,8.893391684,4.283980000000001
mof_unit_pretest_479,2220.536347,1494.5958,949.68,1061.4264098847184,0.16832,0.1506,2,9,5,10,14,17,24,23.41335961,5.924015
mof_unit_pretest_480,950.572946,835.41132,478.63,698.4921801048442,0.10782,0.0738999999999999,0,2,11,9,9,1,5,75.37543941,7.877936
mof_unit_pretest_481,1134.467856,823.34534,1154.33,1391.1262499235042,0.2283,0.1894,0,2,11,8,3,4,14,15.88127615,6.178301
mof_unit_pretest_482,2464.378408,1852.80688,0.0,0.0,0.0689199999999999,0.0551999999999999,2,9,5,9,9,16,16,75.50016841,7.825025
mof_unit_pretest_483,1410.415928,1260.35784,0.0,0.0,0.02528,0.017,2,9,5,14,17,5,2,36.57322702,9.229379
mof_unit_pretest_484,1691.223865,1152.90616,1229.7,1391.9984782356344,0.2199599999999999,0.1943,0,1,12,2,10,16,24,14.64794038,5.575004
mof_unit_pretest_485,6981.4988,3724.399706,2093.7,1854.679173489645,0.34188,0.3859,0,1,12,1,19,18,18,21.15589481,5.800549
mof_unit_pretest_486,5098.648215,2140.1949600000003,2565.13,1787.9459859462593,0.3463199999999999,0.4969,0,2,11,20,5,18,18,16.65857674,5.230706
mof_unit_pretest_487,1568.85835,1102.34386,1268.27,1479.7617589056078,0.27543,0.2361,0,2,11,10,3,4,18,18.64760601,6.025878
mof_unit_pretest_488,1317.843631,873.500882,1351.47,1487.4850230553636,0.22925,0.2083,0,2,11,1,8,1,16,21.36764888,5.48125
mof_unit_pretest_489,1069.822842,1450.4259,0.0,0.0,0.0993499999999999,0.0441,0,1,12,17,4,1,12,55.28997186,7.56693
mof_unit_pretest_490,1136.727103,1094.8046,0.0,0.0,0.0776799999999999,0.0485999999999999,0,2,11,2,4,4,9,51.44333211,7.897572
mof_unit_pretest_491,2255.88639,1376.58891,1736.04,1759.1120197752189,0.26471,0.2611999999999999,3,4,6,1,1,4,19,20.69367521,5.403986
mof_unit_pretest_492,1928.133925,811.56524,3424.69,2393.614645317156,0.4269699999999999,0.6109,0,2,11,9,9,2,5,12.78475041,4.772687
mof_unit_pretest_493,6290.549905,2525.0307,2884.27,1922.4749500552073,0.4505699999999999,0.676,2,9,5,8,2,3,28,16.056162699999998,6.449573
mof_unit_pretest_494,1511.025794,1176.917373,1042.25,1348.008794790246,0.22228,0.1719,0,1,12,3,1,14,18,27.87242826,5.928354
mof_unit_pretest_495,3094.742295,1405.85184,2350.15,1772.7903205537818,0.32244,0.4274999999999999,0,1,12,13,8,18,21,21.43568378,5.7624010000000006
mof_unit_pretest_496,5192.210632,3152.61352,1583.35,1596.401341846442,0.2592599999999999,0.2571,5,12,10,14,2,4,24,16.04682256,5.574978
mof_unit_pretest_497,5111.486116,1876.68136,2780.45,1695.13843418117,0.3867499999999999,0.6343999999999999,0,1,12,13,16,18,28,13.62404036,5.515093
mof_unit_pretest_498,1123.95123,629.52112,1691.46,1573.1542076131213,0.26878,0.2889999999999999,0,2,11,10,10,4,4,14.52920759,5.826024
mof_unit_pretest_499,1311.221843,823.4822,850.69,887.1480343325331,0.1359799999999999,0.1303999999999999,0,1,12,5,16,10,27,38.34403097,7.525655
mof_unit_pretest_500,5323.167284,2145.3604,2464.88,1649.577228395224,0.39288,0.5871,2,9,5,11,11,18,28,45.39709237,7.3589509999999985
mof_unit_pretest_501,1678.2203780000002,1365.92408,158.08,213.64917713932377,0.05586,0.0413,2,9,5,6,14,4,22,36.12307085,7.842660999999999
mof_unit_pretest_502,1536.1321,859.8679400000002,1189.57,1105.7066496348932,0.1930599999999999,0.2077,0,2,11,5,20,16,24,16.71280008,6.1689680000000005
mof_unit_pretest_503,2274.553897,1546.8268,0.0,0.0,0.10371,0.0918,0,1,12,7,7,14,14,70.59261535,8.549341
mof_unit_pretest_504,1319.359612,750.1000199999999,1586.7,1497.9507666192726,0.2366,0.2505999999999999,0,2,11,2,6,4,16,16.63486455,5.892601
mof_unit_pretest_505,2550.090978,1095.86064,2887.67,2060.601165352112,0.2955599999999999,0.4142,0,1,12,14,6,18,19,14.45249062,5.482371
mof_unit_pretest_506,1658.513147,729.27472,3214.75,2347.2868829736753,0.3688199999999999,0.5050999999999999,0,1,12,10,10,14,25,12.63402929,5.369733999999999
mof_unit_pretest_507,4284.170534000001,2222.57984,1861.33,1603.4695764664277,0.29651,0.3442,0,1,12,16,10,9,24,16.58274993,5.713178
mof_unit_pretest_508,1985.752803,1180.68224,1246.09,1230.2800547078782,0.17902,0.1812999999999999,0,2,11,2,6,18,24,28.03144829,6.893741
mof_unit_pretest_509,5068.963215,2233.03042,2562.23,1874.3053197991503,0.36324,0.4965999999999999,6,1,12,10,16,9,11,10.45741255,5.462123
mof_unit_pretest_510,2130.671177,1668.25672,0.0,0.0,0.0702099999999999,0.0539999999999999,0,2,11,11,9,9,18,34.47272745,8.142709
mof_unit_pretest_511,3401.31553,2053.07416,1056.92,1059.3672854568722,0.1653699999999999,0.165,2,9,5,15,15,10,29,73.42241192999998,7.305103999999998
mof_unit_pretest_512,5290.112879,3192.27904,1225.25,1227.7426554682743,0.17842,0.1781,5,12,10,15,20,22,22,33.63499308,7.225847
mof_unit_pretest_513,6300.455134000001,2175.06432,3452.09,1978.9235504505116,0.4912399999999999,0.8569,0,1,12,9,9,17,17,11.83268407,4.586882
mof_unit_pretest_514,1950.107984,1629.033943,0.0,0.0,0.0665599999999999,0.048,3,4,6,1,1,4,9,86.69361497,9.26115
mof_unit_pretest_515,3997.663331,1295.92004,3257.0,1753.2202330428145,0.49118,0.9125,0,1,12,12,12,17,27,11.48792065,5.368953
mof_unit_pretest_516,1985.028078,1371.83436,0.0,0.0,0.11771,0.1026,0,1,12,11,19,1,3,25.16506049,6.819656
mof_unit_pretest_517,1645.754915,1520.336843,0.0,0.0,0.13447,0.0877,3,4,6,1,4,5,24,45.03977799,6.761450999999999
mof_unit_pretest_518,2469.028282,935.532263,3242.31,2040.0178456574747,0.4292399999999999,0.6822,0,1,12,1,6,16,18,10.17046084,4.903283
mof_unit_pretest_519,4593.180708,1462.428299,3919.77,2072.3750795000697,0.4503599999999999,0.8518,0,2,11,13,1,3,13,10.34685647,5.29171
mof_unit_pretest_520,2169.9097420000003,2157.420836,0.0,0.0,0.04143,0.0251,1,10,2,17,8,48,51,44.92299775,7.670282
mof_unit_pretest_521,1156.6500640000002,750.44595,1575.11,1696.9734471175095,0.23776,0.2207,0,2,11,16,4,11,14,13.35334557,5.675132
mof_unit_pretest_522,3249.867987,1468.7386800000002,2559.39,1920.7109287246649,0.3426199999999999,0.4565,2,9,5,17,15,16,26,41.70312361,6.430353
mof_unit_pretest_523,1166.72071,968.67818,0.0,0.0,0.0,0.0,0,1,12,16,18,14,22,21.82634065,8.044834
mof_unit_pretest_524,4356.649072,2464.9753600000004,0.0,0.0,0.2114399999999999,0.225,0,1,12,5,5,9,15,15.8727345,5.701179
mof_unit_pretest_525,2898.129515,1192.11336,3090.84,2111.16907466315,0.4052899999999999,0.5934,0,2,11,19,12,8,22,12.00824881,6.103881
mof_unit_pretest_526,1114.133483,631.4924,1686.82,1587.6192999269672,0.26893,0.2857,0,2,11,10,10,1,22,15.49228326,5.679166
mof_unit_pretest_527,939.867686,593.48902,1132.39,1187.3772457812124,0.18162,0.1731999999999999,0,2,11,13,13,4,5,19.13393494,6.088398000000001
mof_unit_pretest_528,1482.535839,671.2801599999999,2364.21,1777.5891341509673,0.3415099999999999,0.4541999999999999,0,1,12,6,20,4,20,14.52064935,5.10542
mof_unit_pretest_529,907.567678,645.15676,0.0,0.0,0.12247,0.1038,0,1,12,8,8,10,18,66.79266624,7.127314
mof_unit_pretest_530,3663.048909000001,1320.01788,3117.4,1865.418818930926,0.38621,0.6453999999999999,0,1,12,12,12,2,7,12.9917578,5.531725
mof_unit_pretest_531,1609.406093,673.25298,3315.08,2302.7849516223887,0.37822,0.5444999999999999,0,1,12,13,13,11,17,10.50881904,4.403933
mof_unit_pretest_532,902.120338,705.48636,0.0,0.0,0.1044799999999999,0.0805,0,2,11,8,20,4,10,90.72941359,8.053452999999998
mof_unit_pretest_533,1605.038897,1362.580986,0.0,0.0,0.0,0.0,2,9,5,1,14,2,22,72.27271186999998,10.04545
mof_unit_pretest_534,2999.270231,1493.94154,2391.01,1977.634933436657,0.30746,0.3716999999999999,0,2,11,9,17,18,23,12.89520548,5.485641
mof_unit_pretest_535,1248.480425,767.3626799999998,934.79,954.0688586825795,0.13513,0.1323999999999999,0,1,12,13,13,5,7,18.964312300000003,6.300104
mof_unit_pretest_536,2998.145741,1132.20684,3650.09,2288.8816275878016,0.35164,0.5607999999999999,0,2,11,5,13,18,23,8.66467761,4.990481
mof_unit_pretest_537,1816.348621,1131.2558800000002,1136.05,1174.9132817091627,0.17501,0.1691999999999999,0,1,12,14,2,10,29,49.07261717,7.187831
mof_unit_pretest_538,3095.8098,1810.32702,1546.67,1501.8520470357244,0.2217199999999998,0.2283,5,12,10,11,19,4,13,26.14703399,6.279356
mof_unit_pretest_539,2920.143007,1138.06758,3339.24,2161.0175385888233,0.4311099999999999,0.6661,0,1,12,2,2,14,29,11.74627912,5.098028
mof_unit_pretest_540,1789.8196879999998,881.5841859999998,2481.17,2029.3537472016706,0.3604,0.4405999999999999,0,2,11,1,20,14,26,12.38212942,5.245369
mof_unit_pretest_541,2643.666825,1174.78346,2570.34,1896.6552750411715,0.2942799999999999,0.3987999999999999,0,1,12,15,12,2,16,11.53789302,5.607457
mof_unit_pretest_542,1870.24604,1624.01252,565.04,814.7353285767151,0.11207,0.0777,2,9,5,4,20,5,18,14.82772578,8.617161999999999
mof_unit_pretest_543,2899.974215,1946.0704,1250.82,1393.8176303522202,0.2038099999999999,0.1829,2,9,5,2,10,16,17,40.33873555,6.692710000000001
mof_unit_pretest_544,2974.183047,1513.35092,2195.82,1855.3054226240824,0.38266,0.4529,0,1,12,4,6,2,18,10.87951492,5.100839
